Temp,Hum,Output,Time_us
28.35,45.64,27.92277,7.88
31.57,40.90,31.65240,7.58
32.84,83.41,49.47811,7.58
37.65,82.39,71.56271,7.88
39.45,91.63,92.42797,7.88
34.05,64.00,43.57849,7.88
33.91,45.07,36.49083,7.58
34.22,96.63,64.68110,7.58
29.40,92.69,39.28733,7.88
31.84,84.68,45.97337,7.88
38.97,85.93,82.80952,7.88
37.85,98.38,89.21492,11.38
35.76,73.29,55.19533,8.46
27.67,52.25,28.09785,7.88
31.40,94.90,48.81074,7.88
27.16,54.43,27.63289,8.75
38.26,92.11,85.44112,7.58
31.39,54.25,34.10433,7.58
34.16,54.82,40.84210,7.58
34.48,80.28,54.69267,7.88
34.00,51.78,39.17956,7.88
35.80,57.98,46.09946,7.88
34.84,66.96,47.97900,7.88
35.01,53.22,42.02852,7.88
38.24,62.05,57.55976,7.58
33.02,75.62,46.49214,7.88
30.67,60.68,34.50026,7.88
