Temp,Hum,Output,Time_us
97.99,51.32,113.92719,0.58
87.03,97.94,114.87050,0.58
81.52,66.10,84.81210,0.58
83.03,45.64,83.19226,0.58
88.83,40.90,89.27991,0.58
91.11,83.41,120.62729,0.58
99.77,82.39,160.90727,0.58
103.01,91.63,198.88330,0.58
93.29,64.00,111.32780,0.58
93.04,45.07,97.97861,0.58
93.60,96.63,147.73755,0.58
84.92,92.69,102.66977,0.58
89.31,84.68,114.44124,0.58
102.15,85.93,181.23180,0.58
100.13,98.38,192.91977,2.33
96.37,73.29,131.62891,0.58
81.81,52.25,82.88998,0.58
88.52,94.90,119.42656,0.58
80.89,54.43,82.16859,0.58
100.87,92.11,185.33818,0.58
88.50,54.25,93.62000,0.58
93.49,54.82,104.91785,0.58
94.06,80.28,129.97002,0.88
93.20,51.78,102.21146,0.58
96.44,57.98,115.59106,0.58
94.71,66.96,118.55244,0.58
95.02,53.22,107.61751,0.58
100.83,62.05,135.19093,0.58
91.44,75.62,114.94362,0.58
87.21,60.68,93.76970,0.58
